Organisms	Organisms.1
strs	Streptococcus salivarius NCTC 8618
ssah	Streptococcus salivarius HSISS4
std	Streptococcus pseudopneumoniae
smn	Streptococcus macedonicus
sif	Streptococcus infantarius subsp. infantarius
sie	Streptococcus intermedius JTH08
sib	Streptococcus intermedius B196
siu	Streptococcus intermedius C270
sang	Streptococcus anginosus C1051
sanc	Streptococcus anginosus C238
sans	Streptococcus anginosus SA1
scg	Streptococcus constellatus subsp. pharyngis C1050
scon	Streptococcus constellatus subsp. pharyngis C232
scos	Streptococcus constellatus subsp. pharyngis C818
soi	Streptococcus cristatus
sik	Streptococcus iniae SF1
siq	Streptococcus iniae ISET0901
sio	Streptococcus iniae ISNO
siz	Streptococcus iniae SFST01-82
slu	Streptococcus lutetiensis
sig	Streptococcus sp. I-G2
sip	Streptococcus sp. I-P16
stv	Streptococcus sp. VT 162
spat	Streptococcus pantholopis
stra	Streptococcus sp. A12
strn	Streptococcus sp. NPS 308
ssob	Streptococcus sobrinus
srq	Streptococcus ruminantium
seqi	Streptococcus equinus
ski	Streptococcus koreensis
spei	Streptococcus periodonticum
srat	Streptococcus ratti
sgw	Streptococcus gwangjuense
ljo	Lactobacillus johnsonii NCC 533
ljf	Lactobacillus johnsonii FI9785
ljh	Lactobacillus johnsonii DPC 6026
ljn	Lactobacillus johnsonii N6.2
lac	Lactobacillus acidophilus NCFM
lad	Lactobacillus acidophilus La-14
laf	Lactobacillus acidophilus FSI4
lsa	Lactobacillus sakei subsp. sakei
lsl	Lactobacillus salivarius UCC118
lsi	Lactobacillus salivarius CECT 5713
lsj	Lactobacillus salivarius JCM1046
ldb	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
lbu	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
lde	Lactobacillus delbrueckii subsp. bulgaricus ND02
ldl	Lactobacillus delbrueckii subsp. bulgaricus 2038
lbr	Lactobacillus brevis ATCC 367
lbk	Lactobacillus brevis KB290
lca	Lactobacillus paracasei ATCC 334
lcz	Lactobacillus paracasei Zhang
lcs	Lactobacillus paracasei BD-II
lce	Lactobacillus paracasei LC2W
lcw	Lactobacillus paracasei W56
lcl	Lactobacillus paracasei LOCK919
lpq	Lactobacillus paracasei N1115
lpi	Lactobacillus paracasei subsp. paracasei 8700:2
lpap	Lactobacillus paracasei subsp. paracasei JCM 8130
lcb	Lactobacillus casei BL23
lcx	Lactobacillus casei 12A
lga	Lactobacillus gasseri ATCC 33323
lre	Lactobacillus reuteri DSM 20016
lrf	Lactobacillus reuteri JCM 1112
lru	Lactobacillus reuteri SD2112
lrt	Lactobacillus reuteri I5007
lrr	Lactobacillus reuteri TD1
lhe	Lactobacillus helveticus DPC 4571
lhl	Lactobacillus helveticus H10
lhr	Lactobacillus helveticus R0052
lhv	Lactobacillus helveticus CNRZ32
lhh	Lactobacillus helveticus H9
lhd	Lactobacillus helveticus KLDS1.8701
lrh	Lactobacillus rhamnosus GG
lrg	Lactobacillus rhamnosus GG
lrl	Lactobacillus rhamnosus Lc 705
lra	Lactobacillus rhamnosus ATCC 8530
lro	Lactobacillus rhamnosus LOCK900
lrc	Lactobacillus rhamnosus LOCK908
lcr	Lactobacillus crispatus
lam	Lactobacillus amylovorus GRL 1112
lai	Lactobacillus amylovorus 30SC
lay	Lactobacillus amylovorus GRL1118
lbh	Lactobacillus buchneri NRRL B-30929
lbn	Lactobacillus buchneri CD034
lke	Lactobacillus kefiranofaciens
lrm	Lactobacillus ruminis
lsn	Lactobacillus sanfranciscensis
law	Lactobacillus sp. wkB8
lho	Lactobacillus hokkaidonensis
lmu	Lactobacillus mucosae
lae	Lactobacillus acetotolerans
lgn	Lactobacillus ginsenosidimutans
lko	Lactobacillus koreensis
lhi	Lactobacillus heilongjiangensis
lku	Lactobacillus kunkeei
lgl	Lactobacillus gallinarum
lpx	Lactobacillus paraplantarum
lor	Lactobacillus oris
lpar	Lactobacillus parabuchneri
lle	Lactobacillus lindneri
lpd	Lactobacillus paracollinoides
lje	Lactobacillus jensenii
lcu	Lactobacillus curieae
lct	Lactobacillus crustorum
lbt	Lactobacillus backii
lcv	Lactobacillus curvatus
lah	Lactobacillus amylophilus
lamy	Lactobacillus amylolyticus
lagl	Lactobacillus agilis
lzy	Lactobacillus zymae
lpg	Lactobacillus pentosus
lcy	Lactobacillus coryniformis
laca	Lactobacillus acidipiscis
lalw	Lactobacillus allii
lali	Lactobacillus alimentarius
lpw	Lactobacillus paragasseri
lfm	Lactobacillus farciminis
ldx	Lactobacillus dextrinicus
lkl	Lactobacillus kullabergensis
lbm	Lactobacillus bombi
lkf	Lactobacillus kefiri
lol	Lactobacillus oligofermentans
lpl	Lactobacillus plantarum WCFS1
lpj	Lactobacillus plantarum JDM1
lpt	Lactobacillus plantarum ZJ316
lps	Lactobacillus plantarum subsp. plantarum ST-III
lpr	Lactobacillus plantarum subsp. plantarum P-8
lpz	Lactobacillus plantarum 16
lpb	Lactiplantibacillus plantarum B21
lfe	Lactobacillus fermentum IFO 3956
lfr	Lactobacillus fermentum CECT 5716
lff	Lactobacillus fermentum F-6
lng	Liquorilactobacillus nagelii
lhw	Lactobacillus hordei
lji	Acetilactobacillus jinshanensis
ppe	Pediococcus pentosaceus ATCC 25745
ppen	Pediococcus pentosaceus SL4
pce	Pediococcus claussenii
pdm	Pediococcus damnosus
paci	Pediococcus acidilactici
pio	Pediococcus inopinatus
efa	Enterococcus faecalis V583
efl	Enterococcus faecalis 62
efi	Enterococcus faecalis OG1RF
efd	Enterococcus faecalis D32
efs	Enterococcus faecalis Symbioflor 1
efn	Enterococcus faecalis DENG1
efq	Enterococcus faecalis ATCC 29212
ene	Enterococcus faecalis 7L76
efc	Enterococcus faecium Aus0004
efau	Enterococcus faecium Aus0085
efu	Enterococcus faecium DO
efm	Enterococcus faecium ATCC 8459 = NRRL B-2354
eft	Enterococcus faecium T110
ehr	Enterococcus hirae
ecas	Enterococcus casseliflavus
emu	Enterococcus mundtii
edu	Enterococcus durans
ega	Enterococcus gallinarum
ess	Enterococcus silesiacus
eth	Enterococcus thailandicus
egv	Enterococcus gilvus
eav	Enterococcus avium
esg	Enterococcus saigonensis
mps	Melissococcus plutonius ATCC 35311
mpx	Melissococcus plutonius DAT561
thl	Tetragenococcus halophilus NBRC 12172
tey	Tetragenococcus halophilus YJ1
too	Tetragenococcus osmophilus
tkr	Tetragenococcus koreensis
vte	Vagococcus teuberi
vpi	Vagococcus penaei
vac	Vagococcus sp. CF-49
vao	Vagococcus sp. MN-17
vah	Vagococcus sp. HDW17A
vcp	Vagococcus carniphilus
ooe	Oenococcus oeni
oen	Oenococcus sp. UCMA 16435
osi	Oenococcus sicerae
lme	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
lmm	Leuconostoc mesenteroides subsp. mesenteroides J18
lmk	Leuconostoc mesenteroides KFRI-MG
lci	Leuconostoc citreum
lki	Leuconostoc kimchii
lec	Leuconostoc sp. C2
lcn	Leuconostoc carnosum
lgs	Leuconostoc gelidum subsp. gasicomitatum
lge	Leuconostoc gelidum JB7
llf	Leuconostoc lactis
lgc	Leuconostoc garlicum
lsu	Leuconostoc mesenteroides subsp. suionicum
lpse	Leuconostoc pseudomesenteroides
wko	Weissella koreensis
wce	Weissella ceti WS08
wct	Weissella ceti WS74
wci	Weissella ceti WS105
wcb	Weissella cibaria
wjo	Weissella jogaejeotgali
wpa	Weissella paramesenteroides
wcf	Weissella confusa
wso	Weissella soli
whe	Weissella hellenica
wei	Weissella sp. 26KH-42
aur	Aerococcus urinae ACS-120-V-Col10a
aun	Aerococcus urinae CCUG36881
aui	Aerococcus urinaeequi
asan	Aerococcus sanguinicola
acg	Aerococcus christensenii
avs	Aerococcus viridans
auh	Aerococcus urinaehominis
adc	Abiotrophia defectiva
abae	Suicoccus acidiformans
crn	Carnobacterium sp. 17-4
cml	Carnobacterium maltaromaticum
caw	Carnobacterium inhibens
carc	Carnobacterium sp. CP1
cdj	Carnobacterium divergens
carn	Carnobacterium sp. PL17GRE32
marr	Marinilactibacillus sp. 15R
jep	Jeotgalibaca sp. PTS2502
jda	Jeotgalibaca dankookensis
jeh	Jeotgalibaca ciconiae
jar	Jeotgalibaca arthritidis
jpo	Jeotgalibaca porci
dpm	Dolosigranulum pigrum
cac	Clostridium acetobutylicum ATCC 824
cae	Clostridium acetobutylicum DSM 1731
cay	Clostridium acetobutylicum EA 2018
cpe	Clostridium perfringens 13
cpf	Clostridium perfringens ATCC 13124
cpr	Clostridium perfringens SM101
ctc	Clostridium tetani E88
ctet	Clostridium tetani 12124569
cno	Clostridium novyi
cbo	Clostridium botulinum A ATCC 3502
cba	Clostridium botulinum A ATCC 19397
cbh	Clostridium botulinum A Hall
cby	Clostridium botulinum A2
cbl	Clostridium botulinum A3 Loch Maree
cbk	Clostridium botulinum B Eklund 17B (NRP)
cbb	Clostridium botulinum B1 Okra
cbi	Clostridium botulinum Ba4
cbn	Clostridium botulinum BKT015925
cbt	Clostridium botulinum E3
cbf	Clostridium botulinum F Langeland
cbm	Clostridium botulinum F 230613
cbj	Clostridium botulinum H04402 065
cbe	Clostridium beijerinckii NCIMB 8052
cbz	Clostridium beijerinckii ATCC 35702
cbei	Clostridium beijerinckii NCIMB 14988
ckl	Clostridium kluyveri DSM 555
ckr	Clostridium kluyveri NBRC 12016
clj	Clostridium ljungdahlii
ccb	Clostridium cellulovorans
cls	Clostridium sp. SY8519
clb	Clostridium sp. BNL1100
csr	Clostridium saccharoperbutylacetonicum
cpas	Clostridium pasteurianum BC1
cpat	Clostridium pasteurianum DSM 525 = ATCC 6013
cpae	Clostridium pasteurianum DSM 525 = ATCC 6013
csb	Clostridium saccharobutylicum
cah	Clostridium autoethanogenum
clt	Clostridium bornimense
cbv	Clostridium baratii
csq	Clostridium scatologenes
cld	Clostridium sporogenes
cace	Clostridium aceticum
cck	Clostridium carboxidivorans
cbut	Clostridium butyricum
ctyk	Clostridium tyrobutyricum
ceu	Clostridium estertheticum
ctae	Clostridium taeniosporum
cfm	Clostridium formicaceticum
cchv	Clostridium chauvoei
carg	Clostridium argentinense
cdrk	Clostridium drakei
cia	Clostridium isatidis
csep	Clostridium septicum
cdy	Clostridium diolis
ccoh	Clostridium cochlearium
amt	Alkaliphilus metalliredigens
aoe	Alkaliphilus oremlandii
asf	Candidatus Arthromitus sp. SFB-mouse-Japan
asm	Candidatus Arthromitus sp. SFB-mouse-Yit
aso	Candidatus Arthromitus sp. SFB-mouse-NL
asb	Candidatus Arthromitus sp. SFB-rat-Yit
gfe	Geosporobacter ferrireducens
hhw	Hathewaya histolytica
cale	Caloramator sp. E03
crs	Crassaminicella sp. SY095
cazo	Caloranaerobacter azorensis
clo	Mageeibacillus indolicus
fsa	Fastidiosipila sanguinis
cth	Hungateiclostridium thermocellum ATCC 27405
ctx	Hungateiclostridium thermocellum DSM 1313
ccl	Hungateiclostridium clariflavum
hsc	Hungateiclostridium saccincola
ruk	Hungateiclostridiaceae bacterium KB18
cce	Ruminiclostridium cellulolyticum
css	Thermoclostridium stercorarium subsp. stercorarium DSM 8532
csd	Thermoclostridium stercorarium subsp. stercorarium DSM 8532
cthd	Pseudoclostridium thermosuccinogenes
esr	Eubacterium siraeum V10Sc8a
esu	Eubacterium siraeum 70/3
ccel	Clostridium cellulosi
rbp	Ruminococcaceae bacterium CPB6
fpla	Flavonifractor plautii
eha	Ethanoligenens harbinense
ral	Ruminococcus albus
rch	Ruminococcus champanellensis
rum	Ruminococcus sp. SR1/5
rus	Ruminococcus bicirculans
ruj	Ruminococcus sp. JE7A12
fpr	Faecalibacterium prausnitzii L2-6
fpa	Faecalibacterium prausnitzii SL3/3
fpra	Faecalibacterium prausnitzii A2-165
capr	Caproiciproducens sp. NJN-50
bpb	Butyrivibrio proteoclasticus
bfi	Butyrivibrio fibrisolvens
bhu	Butyrivibrio hungatei
cle	Cellulosilyticum lentocellum
cew	Cellulosilyticum sp. WCF-2
rho	Roseburia hominis
rix	Roseburia intestinalis XB6B4
rim	Roseburia intestinalis M50/1
coo	Coprococcus sp. ART55/1
cct	Coprococcus catus
rob	Blautia obeum
byl	Blautia sp. YL58
bhan	Blautia hansenii
blau	Blautia sp. N6H1-15
bpro	Blautia producta
blab	Blautia sp. SC05B48
cpy	Lachnoclostridium phytofermentans
lacy	Lachnoclostridium sp. YL32
csci	Clostridium scindens
csh	Clostridium saccharolyticum WM1
cso	Clostridium cf. saccharolyticum K10
bprl	Anaerostipes hadrus
arf	Anaerostipes rhamnosivorans
acac	Anaerostipes caccae
hsd	Herbinix luporum
cpro	Anaerotignum propionicum
lua	Lachnoanaerobaculum umeaense
ehl	Anaerobutyricum hallii
pxv	Pseudobutyrivibrio xylanivorans
anr	Anaerocolumna sp. CBA3638
acel	Anaerocolumna cellulosilytica
eel	Eubacterium eligens
rto	Ruminococcus torques
rgn	Ruminococcus gnavus
cbol	Enterocloster bolteae
ere	Eubacterium rectale ATCC 33656
ert	Eubacterium rectale DSM 17629
era	Eubacterium rectale M104/1
lbw	Lachnospiraceae bacterium oral taxon 500
cdf	Clostridioides difficile 630
pdc	Clostridioides difficile 630
cdc	Clostridioides difficile CD196
cdl	Clostridioides difficile R20291
pdf	Clostridioides difficile 630Derm
eac	Peptoclostridium acidaminophilum
cst	Acetoanaerobium sticklandii
faa	Filifactor alocis
psor	Paeniclostridium sordellii
roc	Romboutsia sp. CE17
phx	Peptacetobacter hiranonis
pbq	Peptostreptococcaceae bacterium oral taxon 929
sth	Symbiobacterium thermophilum
swo	Syntrophomonas wolfei
slp	Syntrophothermus lipocalidus
salq	Candidatus Syntrophocurvum alkaliphilum
dsy	Desulfitobacterium hafniense Y51
dhd	Desulfitobacterium hafniense DCB-2
ddh	Desulfitobacterium dehalogenans
ddl	Desulfitobacterium dichloroeliminans
dmt	Desulfitobacterium metallireducens
drm	Desulfotomaculum reducens
dca	Desulfotomaculum nigrificans
dru	Desulfotomaculum ruminis
dfg	Desulfotomaculum ferrireducens
dae	Desulfofarcimen acetoxidans
dku	Desulfofundulus kuznetsovii
dgi	Desulfallas gibsoniae
pth	Pelotomaculum thermopropionicum
dau	Candidatus Desulforudis audaxviator
tjr	Thermincola potens
sgy	Syntrophobotulus glycolicus
dor	Desulfosporosinus orientis
dai	Desulfosporosinus acidiphilus
dmi	Desulfosporosinus meridiei
ded	Dehalobacter sp. DCA
dec	Dehalobacter sp. CF
drs	Dehalobacter restrictus
tfr	Thermoanaerosceptrum fracticalcis
hmo	Heliobacterium modesticaldum
hcv	Heliorestis convoluta
elm	Eubacterium callanderi
emt	Eubacterium maltosivorans
elim	Eubacterium limosum
awo	Acetobacterium woodii
ova	Oscillibacter valericigenes
obj	Oscillospiraceae bacterium J115
tmr	Thermaerobacter marianensis
thef	Thermaerobacter sp. FW80
thep	Thermaerobacter sp. PB12/4term
say	Sulfobacillus acidophilus TPY
sap	Sulfobacillus acidophilus DSM 10332
sthr	Sulfobacillus thermotolerans
cthm	Carboxydocella thermautotrophica
cmiu	Christensenella minuta
ibu	Intestinimonas butyriciproducens
mdv	Mogibacterium diversum
amij	Aminipila sp. JN-39
amic	Aminipila sp. CBA3637
abut	Aminipila butyrica
euu	Eubacterium sulci
bprm	Butyrate-producing bacterium SM4/1
bprs	Butyrate-producing bacterium SS3/4
cbar	Clostridiales bacterium 70B-A
tte	Caldanaerobacter subterraneus subsp. tengcongensis
tex	Thermoanaerobacter sp. X514
thx	Thermoanaerobacter sp. X513
tpd	Thermoanaerobacter pseudethanolicus
tit	Thermoanaerobacter italicus
tmt	Thermoanaerobacter mathranii
tbo	Thermoanaerobacter brockii
twi	Thermoanaerobacter wiegelii
tki	Thermoanaerobacter kivui
chy	Carboxydothermus hydrogenoformans
mta	Moorella thermoacetica ATCC 39073
mtho	Moorella thermoacetica DSM 521
mthz	Moorella thermoacetica DSM 2955
adg	Ammonifex degensii
tpz	Thermacetogenium phaeum
csc	Caldicellulosiruptor saccharolyticus
ate	Caldicellulosiruptor bescii
cob	Caldicellulosiruptor obsidiansis
chd	Caldicellulosiruptor hydrothermalis
cow	Caldicellulosiruptor owensensis
cki	Caldicellulosiruptor kristjanssonii
ckn	Caldicellulosiruptor kronotskyensis
clc	Caldicellulosiruptor lactoaceticus
ccha	Caldicellulosiruptor changbaiensis
ttm	Thermoanaerobacterium thermosaccharolyticum DSM 571
tto	Thermoanaerobacterium thermosaccharolyticum M0795
txy	Thermoanaerobacterium xylanolyticum
tsh	Thermoanaerobacterium saccharolyticum
tnr	Thermodesulfobium narugense
taci	Thermodesulfobium acidiphilum
mas	Mahella australiensis
tep	Tepidanaerobacter acetatoxydans Re1
tae	Tepidanaerobacter acetatoxydans Re1
toc	Thermosediminibacter oceani
nth	Natranaerobius thermophilus
hor	Halothermothrix orenii
has	Halanaerobium hydrogeniformans
hpk	Halanaerobium praevalens
hals	Halocella sp. SP3-1
aar	Acetohalobium arabaticum
hhl	Halobacteroides halobius
aft	Anoxybacter fermentans
fma	Finegoldia magna
apr	Anaerococcus prevotii
pmic	Parvimonas micra
ped	Peptoniphilus sp. ING2-D1G
phar	Peptoniphilus harei
piv	Peptoniphilus ivorii
cad	Gottschalkia acidurici
spoa	Sporanaerobacter sp. NJN-17
vpr	Veillonella parvula
vat	Veillonella atypica
vrm	Veillonella rodentium
vdn	Veillonella dispar
med	Megasphaera elsdenii
mhw	Megasphaera hexanoica
meg	Megasphaera sp. AJH120
dpn	Dialister pneumosintes
dho	Dialister hominis
ssg	Selenomonas sputigena
sri	Selenomonas ruminantium subsp. lactilytica
sele	Selenomonas sp. oral taxon 478
selo	Selenomonas sp. oral taxon 136
selt	Selenomonas sp. oral taxon 920
mhg	Megamonas hypermegale
mfun	Megamonas funiformis
puf	Pelosinus sp. UFO1
pft	Pelosinus fermentans
mana	Methylomusa anaerophila
sted	Sporomusa termitida
afn	Acidaminococcus fermentans
ain	Acidaminococcus intestini
pfac	Phascolarctobacterium faecium
erh	Erysipelothrix rhusiopathiae Fujisawa
ers	Erysipelothrix rhusiopathiae SY1027
erl	Erysipelothrix larvae
eri	Erysipelothrix sp. 15TAL0474
erd	Erysipelothrix sp. HDW6C
euc	Faecalitalea cylindroides
tur	Turicibacter sp. H121
tsg	Turicibacter sanguinis
fro	Faecalibaculum rodentium
aarg	Amedibacterium intestinale JCM 30884
absi	Amedibacterium intestinale 9CBEGH2
ciu	Clostridium innocuum
erm	Erysipelatoclostridium ramosum
erb	Erysipelotrichaceae bacterium I46
ebm	Erysipelotrichaceae bacterium SG0102
lpil	Limnochorda pilosa
mge	Mycoplasma genitalium G37
mgu	Mycoplasma genitalium M2288
mgc	Mycoplasma genitalium M2321
mgq	Mycoplasma genitalium M6282
mgx	Mycoplasma genitalium M6320
mpn	Mycoplasma pneumoniae M129
mpm	Mycoplasma pneumoniae 309
mpj	Mycoplasma pneumoniae FH
mpb	Mycoplasma pneumoniae M129-B7
mpu	Mycoplasma pulmonis
mpe	Mycoplasma penetrans
mga	Mycoplasma gallisepticum R(low)
mgh	Mycoplasma gallisepticum R(high)
mgf	Mycoplasma gallisepticum F
mgn	Mycoplasma gallisepticum NC06_2006.080-5-2P
mgs	Mycoplasma gallisepticum NC95_13295-2-2P
mgt	Mycoplasma gallisepticum NY01_2001.047-5-1P
mgv	Mycoplasma gallisepticum VA94_7994-1-7P
mgw	Mycoplasma gallisepticum WI01_2001.043-13-2P
mgac	Mycoplasma gallisepticum CA06_2006.052-5-2P
mgan	Mycoplasma gallisepticum NC08_2008.031-4-3P
mgnc	Mycoplasma gallisepticum NC96_1596-4-2P
mgz	Mycoplasma gallisepticum S6
mmy	Mycoplasma mycoides subsp. mycoides SC PG1
mmym	Mycoplasma mycoides subsp. mycoides SC Gladysdale
mmyi	Mycoplasma mycoides subsp. mycoides izsam_mm5713
mml	Mycoplasma mycoides subsp. capri LC 95010
mcp	Mycoplasma capricolum subsp. capricolum ATCC 27343
mcac	Mycoplasma capricolum subsp. capripneumoniae 9231-Abomsa
mcap	Mycoplasma capricolum subsp. capripneumoniae F38
mcar	Mycoplasma capricolum subsp. capripneumoniae ILRI181
mcai	Mycoplasma capricolum subsp. capripneumoniae 87001
mlc	Mycoplasma leachii PG50
mlh	Mycoplasma leachii 99/014/6
mmo	Mycoplasma mobile
mhy	Mycoplasma hyopneumoniae 232
mhj	Mycoplasma hyopneumoniae J
mhp	Mycoplasma hyopneumoniae 7448
mhn	Mycoplasma hyopneumoniae 168
mhyl	Mycoplasma hyopneumoniae 168-L
mhyo	Mycoplasma hyopneumoniae 7422
msy	Mycoplasma synoviae 53
mso	Mycoplasma synoviae ATCC 25204
maa	Mycoplasma agalactiae PG2
mal	Mycoplasma agalactiae 5632
mat	Mycoplasma arthritidis
mco	Mycoplasma conjunctivae
mho	Mycoplasma hominis ATCC 23114
mhom	Mycoplasma hominis ATCC 27545
mcd	Mycoplasma crocodyli
mhr	Mycoplasma hyorhinis HUB-1
mhh	Mycoplasma hyorhinis GDL-1
mhm	Mycoplasma hyorhinis MCLD
mhs	Mycoplasma hyorhinis SK76
mhv	Mycoplasma hyorhinis DBS 1050
mfr	Mycoplasma fermentans JER
mfm	Mycoplasma fermentans M64
mfp	Mycoplasma fermentans PG18
mbv	Mycoplasma bovis PG45
mbh	Mycoplasma bovis Hubei-1
mbi	Mycoplasma bovis HB0801
mbq	Mycoplasma bovis CQ-W70
mha	Mycoplasma haemofelis Langford 1
mhf	Mycoplasma haemofelis Ohio2
mss	Mycoplasma suis Illinois
msk	Mycoplasma suis KI3806
mpf	Mycoplasma putrefaciens KS1
mput	Mycoplasma putrefaciens Mput9231
mhe	Mycoplasma haemocanis
mwe	Mycoplasma wenyonii
mhl	Candidatus Mycoplasma haemolamae
mcy	Mycoplasma cynos
mhb	Candidatus Mycoplasma haemominutum
mpv	Mycoplasma parvum
mov	Mycoplasma ovis
mbc	Mycoplasma bovoculi
mgj	Candidatus Mycoplasma girerdii
mfq	Mycoplasma flocculare
mcan	Mycoplasma canadense
myt	Mycoplasma yeatsii
mds	Mycoplasma dispar
mcas	Mycoplasma canis LV
mck	Mycoplasma canis PG 14
marg	Mycoplasma arginini
myg	Mycoplasma sp. (ex Biomphalaria glabrata)
mpul	Mycoplasma pullorum
mbov	Mycoplasma bovigenitalium
mpho	Mycoplasma phocidae
mhyv	Mycoplasma hyosynoviae
mboh	Mycoplasma bovirhinis
mclo	Mycoplasma cloacale
mamp	Mycoplasma amphoriforme
mans	Mycoplasma anserisalpingitidis
